Supplier Name,Item Description,Amount,Quantity
T.S. Entity Maximum Heights,Masks: Surgical,520 000,20 000
1STOP MEDICAL SUPPLIES,Masks: Surgical,8 625 000,750 000
1STOP MEDICAL SUPPLIES,Protective Clothing,52 580,49 500
21st Kings,Masks: Surgical,625 000,50000
3 Gems Communications (Pty) Ltd,Masks: Surgical,1 068 000,60 000
3 Gems Communications (Pty) Ltd,Surgical Gloves,720 000,2 000
3D MEDICAL,Masks: Surgical,777 000,60 000
3rd Alternative Solutions (Pty) Ltd,Masks: Surgical,972500,50000
Abokemedi Tading,Masks: Surgical,123 000,10 000
ADCOCK INGRAM CRITICAL CARE LT,Sanitisers,22 698 051,456 264
Afribukamoso (Pty) Ltd(TR Group),Masks: Surgical,520000,20 000
AfricanAshes,Surgical Gloves,760 000,2 000
AFRIKA INVEST (PTY) LTD,Masks: Surgical,853 200,60 000
AKA Na Rina Supplies,Masks: Surgical,123000,10000
AKON-KHA PROJECTS MANAGEMENT,Masks: Surgical,772 800,60 000
Alex Cape Holdings Ck,Masks: Surgical,1250000,100000
Alex Cape Holdings Ck,Surgical Gloves,760 000,2 000
ALLENCO MEDICAL AND DENTAL SUP,Masks: Surgical,106 000,1000
ALLENCO MEDICAL AND DENTAL SUP,Protective Clothing,15 221,6 380
ALTLEGA STATIONERS CC,Masks: Surgical,720 000,60 000
ALUTHA SOLUTIONS,Masks: Surgical,123 000,10 000
Amandasig Trading,Surgical Gloves,760 000,2 000
AMS Supply and Logistics,Masks: Surgical,931500,30000
ANKO TRADING AND SUPPLY,Masks: Surgical,810 000,60 000
AQUALYTIC,Surgical Gloves,10 903,120
Arangaho (Pty) Ltd,Masks: Surgical,1 037 000,40 000
Arangaho (Pty) Ltd,Surgical Gloves,715 980,2000
Arctopart Strategic Supplies,Masks: Surgical,1075 000,50 000
Arctopart Strategic Supplies,Surgical Gloves,760 000,2 000
ARIYE TOURS,Masks: Surgical,990 000,60 000
ASIKULIBALI TRADING,Masks: Surgical,888000,60000
ASIZIPHANGA HOLDING (PTY) LTD,Masks: Surgical,870 000,60 000
Aspimo Project 34,Surgical Gloves,760 000,2000
Auto Extreme and Sons Panel,Masks: Surgical,123 000,10 000
Avenue brand commuication and design,Masks: Surgical,2 120000,80 000
Azmec Consulting,Masks: Surgical,1560 000,80 000
Azmec Consulting,Surgical Gloves,2 192 000,6 000
B Marshel & Co,Masks: Surgical,1250000,100000
Bannico Trading (Pty) Ltd,Masks: Surgical,520 000,20 000
Banthati Property Development,Masks: Surgical,4087500,135000
Baphameli General Training (Pty) Ltd,Masks: Surgical,530 000,20 000
Bareki Investments Pty Ltd (Shank Project),Masks: Surgical,520000,20 000
BASHNUBILE CONSTRUCTION,Masks: Surgical,750 000,60 000
BASHNUBILE CONSTRUCTION,Surgical Gloves,1127 250,3 000
BBZ MASELE HOLDING,Masks: Surgical,720 000,60 000
Beetsi General Trading,Masks: Surgical,1065 000,60 000
Beetsi General Trading,Surgical Gloves,840 000,2 400
Belph Tradings,Masks: Surgical,3530000,140000
Bicks Gosiame (Pty) Ltd,Masks: Surgical,300 000,10 000
BICS ENGINEERING AND SUPPLY,Masks: Surgical,897 000,60 000
BIOLOGICA PHARMACEUTICALS,Masks: Surgical,14 658,550
BIOLOGICA PHARMACEUTICALS,Protective Clothing,26 000,100
BLACK DOT PETROLEUM,Masks: Surgical,738000,60000
Black Jew Monach,Masks: Surgical,498000,20000
Black Jew Monach,Surgical Gloves,330 084,930
Black Leo Tire and Services,Masks: Surgical,246 000,20 000
Black Mapisi (Pty) Ltd,Masks: Surgical,1060000,40000
BLACKBIRD INTERNATIONAL,Masks: Surgical,756000,60000
Blu Sky Travellers,Masks: Surgical,520 000,20 000
Blu Sky Travellers,Surgical Gloves,1520 000,4000
Bomaite trading and Projects,Masks: Surgical,123 000,10 000
Bouvest 2158 cc,Masks: Surgical,123 000,10 000
Bouvest 2158 cc,Surgical Gloves,760 000,2 000
Brilen Trading Enterprise cc,Masks: Surgical,1575 000,60 000
BUKA STRATEGIC,Surgical Gloves,1127 250,3 000
Bulkeng,Surgical Gloves,612 000,1700
BW,Masks: Surgical,795000,30000
CAMITHA HOLDINGS (PTY) LTD,Masks: Surgical,750 000,60 000
CAMITHA HOLDINGS (PTY) LTD,Surgical Gloves,760 000,2000
Canal Skills Pty Ltd,Masks: Surgical,520 000,20 000
CAW Tech Electro Mechanical Solutions,Masks: Surgical,630 000,50 000
CENTRAL MEDICAL PTY LTD,Protective Clothing,53140,134500
CIT,Walk through Scanners,8 200 000,60
CLEANING SUCCESSORS,Sanitisers,97 050,150
CLEARVIEW ENTERPRISES,Protective Clothing,1979500,28000
COLLYMANZI 90 TRADING (PTY),Masks: Surgical,744000,60000
CONFIDENT CLINICAL CC Protective Clothing,27516,130
Conspecs Businesses,Sanitisers,3000000,375000
CRYSTAL QUICK,Surgical Gloves,749 950,2500
Cubicle,Masks: Surgical,1350 000,50 000
DNC Group,Masks: Surgical,1250000,100000
D9X Trading Pty Ltd,Masks: Surgical,562 500,25 000
Da Brains Trading,Sanitisers,2668341,359000
DAK MAR TRADING,Masks: Surgical,839 400,60 000
Dalcy Enterprise (Pty) Ltd,Masks: Surgical,480 000,20 000
Denoko Trading,Masks; Surgical,540 000,18 000
Denoko Trading,Surgical Gloves,1516 000,4000
DID MECAL (PTY) LTD,Masks: Surgical,1032 000,60 000
DID MECAL (PTY) LTD,Surgical Gloves,1476 000,4000
Dilokelo Communications,Masks: Surgical,520000,20000
Diphuti le dikwena construction,Masks: Surgical,500 000,20 000
Dirang Bohle Trading 45,Masks: Surgical,3855000,147500
DITHETO WORX,Surgical Gloves,925 000,2500
Dkoo Trading,Masks: Surgical,2 080 000,80 000
Dlomiya Trading Enterprise,Masks: Surgical,1144 800,70 000
Diomiya Trading Enterprise,Surgical Gloves,760 000,2 000
DMB LESURE SOLUTIONS,Masks: Surgical,1032000,60000
DONMORE CIVILS AND CONSTRUCTION,Masks: Surgical,777000,60000
